Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y
d13_09_G02_0_1_T,augment_bootstrap,5489,T0,R1,T,6296.762442,2001.118521,1908.604391,51.11917748,2231.429555,2376.423665,13386.23767,2071.223287,2132.981351,7016.64613,1892.070833,1511.033206,4917.223573,1991.442253,1917.976905,7146.686453,1736.717187,1300.937342,345418.0112,2035.345805,1599.093561,4832.147907,1591.571283,322.1699059,5788.730996,2000.304767,1925.267408
d15_17_G03_0_1_T,augment_bootstrap,CALINGIRI,T0,R1,T,7977.122805,2188.774751,910.7779377,56.2083224,1377.355098,2764.401423,23192.44904,1667.65276,935.5011306,25457.68058,1554.225613,1888.684862,7277.950234,2166.778747,955.3279367,12078.77677,1612.95502,672.4359242,444583.1249,963.5366639,1679.494569,15193.47861,1373.500647,1528.326352,7558.370596,2137.225963,993.6483238
d37_11_G02_0_3_T,augment_bootstrap,5489,T0,R3,T,9660.927675,1443.239486,4061.831727,51.0400086,1843.411144,996.2869546,28141.44676,1537.901619,3896.494006,25632.94865,1544.441577,3922.265917,10728.30966,1439.408246,4137.336144,12090.06619,1572.57009,3348.728025,539469.7905,1797.364392,3847.71038,11656.536,1404.355534,4254.351811,7427.499789,1624.2136,3276.519365
d29_40_G05_1_4_S,augment_bootstrap,Hartog,T1,R4,S,10404.25935,2403.169544,3132.762315,66.9439508,2235.949339,2872.264743,17368.48528,2433.676697,2535.673497,25187.04259,2387.108463,2974.427819,9475.70349,2396.120499,3075.43139,8164.175554,2470.51973,2440.909514,406110.2582,2180.281313,2727.009218,7671.292845,2588.793743,1907.515717,10311.17092,2390.481168,3063.235534
d11_31_G04_1_3_S,augment_bootstrap,Forrest,T1,R3,S,5660.393769,1340.160154,1314.811573,63.18526043,1461.265403,329.1149636,8526.888189,1603.895574,553.7780641,7715.265597,1603.995581,506.9235831,2425.194553,1316.760594,1348.41835,2664.323435,1566.720263,351.5325493,271749.4116,1472.39929,220.5687902,3552.375624,1548.219461,338.7166818,1260.197393,1389.565352,1313.71966
d45_39_G05_1_3_S,augment_bootstrap,Hartog,T1,R3,S,5258.956928,1527.899311,2600.261023,70.0956791,1723.677996,2348.350865,30241.91386,1700.203144,2341.595101,24833.09479,1038.750761,3201.761412,5894.475674,1550.33132,2596.07401,12231.78076,1709.900476,2406.740713,382777.0246,1441.792288,2044.903596,12154.22231,1452.588239,2730.494886,6720.927106,1545.686189,2600.119512
d31_14_G02_1_2_T,augment_bootstrap,5489,T1,R2,T,17760.88228,2360.479829,2851.219505,64.88870422,2256.77239,3184.928356,23470.57702,2106.38315,3307.054339,21989.78979,2119.182185,1837.208615,13742.89262,2398.381557,3325.625906,11575.63309,2126.809167,2464.311103,589178.5,2115.902749,2114.036859,10406.33465,2333.674387,3847.059231,13282.78845,2405.908682,3300.218774
d25_06_G01_1_2_T,augment_bootstrap,Gladius,T1,R2,T,8919.603072,1585.671879,1838.667726,69.86771227,1676.770229,527.6425645,13152.46179,1569.781102,1195.174486,9833.760434,1512.097038,2069.543122,8095.330643,1492.348165,1919.962268,5995.971138,1571.755198,1065.495249,495332.3638,1823.472988,1652.455999,4656.331506,1707.114523,519.2042029,5276.601858,1557.829587,1625.502796
d37_31_G04_1_3_S,augment_bootstrap,Forrest,T1,R3,S,4117.766489,683.2842051,3169.554766,62.29352832,751.0137257,2061.20188,12131.66331,774.8429992,2501.117926,15175.29298,773.5425467,2519.257309,3998.095193,657.3967311,3158.202427,6631.833165,823.2275445,2109.567811,362289.1867,2027.633705,3664.291339,5828.781012,2109.623123,3635.068673,4204.921074,661.8469833,3149.154041
d45_48_G06_1_4_S,augment_bootstrap,3811,T1,R4,S,19662.2304,1449.592789,3293.609492,50.00847361,1776.448389,4362.547443,31714.575,1278.349653,2870.82452,30421.46248,1547.167075,2776.165599,19825.47535,1455.368584,3254.566022,12549.53244,1755.336996,4509.615015,566644.1513,1436.392693,2939.718155,11595.94068,975.3855577,1789.440372,13715.28263,1391.121331,3003.715592
d17_26_G04_0_2_S,augment_bootstrap,Forrest,T0,R2,S,4193.863451,1336.629149,2178.111681,52.70782296,1553.119619,746.5106304,11151.2289,1366.72455,2540.900273,9922.808332,1374.617716,2485.896742,3606.070988,1345.760815,2107.611009,3903.476571,902.7015286,2464.309821,376018.9124,1463.65153,1544.630778,4827.943632,900.0078652,2432.044459,3847.410512,1336.308778,2200.237744
d17_23_G03_1_3_T,augment_bootstrap,CALINGIRI,T1,R3,T,10640.15603,1459.938204,2414.107262,61.02363671,1533.767556,2728.917326,12728.79942,1419.972798,1872.642935,8616.469509,1423.117018,1899.271841,10250.36287,1512.80007,2304.499868,5238.807853,674.4482256,1997.921074,369120.2621,1457.950747,1592.482173,6401.08569,649.6855352,2038.14674,10647.67626,1489.614627,2376.053901
d29_22_G03_1_2_T,augment_bootstrap,CALINGIRI,T1,R2,T,11256.68094,1192.504943,2776.168024,56.84871678,2151.528388,2835.296542,21310.73984,1764.999457,2518.982466,29607.27643,1930.269611,3125.962006,10245.59867,1170.226116,2764.894731,8811.622715,1923.884061,2321.420683,361026.5951,2012.222242,2773.621579,9656.849706,2216.174974,3952.592602,10372.82422,1133.163596,2533.944165
d11_19_G03_0_3_T,augment_bootstrap,CALINGIRI,T0,R3,T,6018.900447,1682.917655,1593.166543,68.13320205,1573.363394,1893.935686,19305.92802,1535.124144,859.2982146,18450.77143,1541.395487,823.6732158,6559.362501,1678.581467,1528.24452,8772.517777,1519.560282,588.5459867,331237.9573,1450.361709,1376.643439,6775.435053,1573.086598,1982.278669,6640.447458,1675.981526,1568.673502
d37_08_G01_1_4_T,augment_bootstrap,Gladius,T1,R4,T,12919.31494,1950.212283,2116.651327,93.7395195,1814.487685,1571.873814,21134.18676,1898.416306,1845.886178,19968.47189,2006.687039,2795.871256,10673.29928,1970.840022,2097.891281,11460.33424,1703.315799,2418.085592,626439.7829,1951.472014,1524.397657,15707.25017,1805.16848,2375.837706,5911.999226,1990.653752,2436.292172
d21_29_G04_1_1_S,augment_bootstrap,Forrest,T1,R1,S,1244.001565,259.5325437,1750.563434,60.87629122,1181.171534,1354.660055,3563.06001,375.8828769,1581.220071,4311.702805,1310.954879,2167.130284,3118.295136,251.604399,1828.690586,3089.748761,278.0038784,1759.089735,327415.1356,270.1068055,1513.541785,2166.469831,309.3797829,1707.761626,3084.914996,226.1824943,1789.25849
d1_T024_28.09.23,augment_bootstrap,3811,na,R9,S,32325.65145,1111.606189,3685.671655,95.11598924,1178.56813,3892.280018,183195.4305,1084.205742,2048.109584,176712.7274,1072.941197,2004.625033,28188.26514,1117.194279,3728.40493,94013.98382,1229.151964,3755.091441,460360.2205,915.9227326,3217.905186,82646.07465,1228.818413,3799.505116,26473.7549,1123.45454,3688.339583
d31_10_G02_0_1_T,augment_bootstrap,5489,T0,R2,T,15944.43233,2523.158304,2826.158212,54.98886005,2476.702686,2984.051733,45699.48804,2240.604027,3433.658632,66936.25057,2329.600824,2095.351755,16116.40304,2517.923922,2799.604904,21982.29021,1799.153074,753.8185979,519966.2126,2587.264785,2443.632172,18210.42564,1774.076376,672.1984146,16813.0138,2510.243378,2880.031505
d3_T001_08.10.23,augment_bootstrap,Gladius,na,R1,T,163855.4851,871.3074269,5774.03872,83.79523398,452.4154198,5697.572608,346609.9669,992.6800017,5583.857398,339658.5038,969.9650445,5605.215504,142083.7248,884.7464452,5672.793461,133821.6393,901.1673038,4821.027622,845693.5589,592.6528416,5393.414059,339043.0843,1014.305623,5538.639021,130225.977,845.2724691,5743.69868
d13_19_G03_0_3_T,augment_bootstrap,CALINGIRI,T0,R3,T,7738.744139,1669.773692,1576.650004,57.85960418,1539.275122,788.5317882,13403.88249,1485.300288,2073.763775,14369.3905,1476.358275,2071.183313,8179.362541,1691.39819,1648.068274,6972.037202,1577.823571,1181.069616,395976.7307,1831.576164,927.6199453,7582.157168,1556.37086,2096.791547,7298.860935,1692.355192,1681.254791
d4_T011_14.10.23,augment_bootstrap,Gladius,na,R4,T,54899.35164,749.4309573,6272.630812,85.92817173,909.2251282,5535.448585,218194.4527,1056.89359,5714.575119,216347.808,1049.060443,5706.443682,46664.15842,765.1350894,6357.371445,112340.8188,1051.339338,6313.403934,573692.3934,478.2160973,5998.215025,143368.964,897.9560957,6103.017876,38577.76298,784.2320623,6320.394574
d29_47_G06_1_3_S,augment_bootstrap,3811,T1,R3,S,6345.045054,1456.450757,2218.910373,50.85412166,1610.219952,1856.221094,13052.20898,1459.888958,2072.454891,14444.81499,1473.105521,2038.144138,6394.0161,1476.07829,2224.968336,7506.801279,1536.671338,2516.319438,379281.0769,1447.958649,1538.90849,6730.181959,1554.949119,2572.013594,5847.078669,1448.670127,2224.786694
d43_22_G03_1_2_T,augment_bootstrap,CALINGIRI,T1,R2,T,12994.76275,1991.847191,4083.808891,61.04173702,2023.322501,2708.606496,35052.25841,2016.754709,4096.240456,32973.39573,2004.403501,4154.517033,12708.34489,1943.884924,4051.152286,19427.20912,1940.185423,4574.892284,549279.9105,1940.404772,3600.150526,19925.48116,1920.284217,4471.521583,12561.2297,1955.084058,4058.998603
d21_28_G04_0_4_S,augment_bootstrap,Forrest,T0,R4,S,3541.25783,1502.89686,2079.156476,58.43575035,1533.918586,563.8496408,14220.78358,1442.443312,2517.73099,14453.41902,1465.19605,2442.029686,4127.42765,1531.384911,2060.849057,6209.810535,2654.309429,2320.233848,289107.5503,1453.966531,2630.395275,4639.543661,1520.468536,618.7153929,3396.74033,1498.452031,2031.932999
d25_07_G01_1_3_T,augment_bootstrap,Gladius,T1,R3,T,10655.12827,1230.313164,2147.88994,55.88315807,1895.622904,1140.662849,16081.4436,1374.42136,2878.254941,15408.99841,1364.374877,2838.061842,10465.01083,1271.034813,2145.442828,8621.887626,1263.092903,2463.437532,639385.7669,1482.810069,2450.631165,6414.310296,1282.260326,2512.805167,8973.161801,1390.34806,2593.812686
d13_05_G01_1_1_T,augment_bootstrap,Gladius,T1,R1,T,5631.372002,1403.086234,1404.068773,63.01255164,1472.044466,1083.425293,11489.61922,1576.545769,1108.223738,12938.87403,1529.555536,1595.467345,4737.118035,1399.621565,1382.456539,6351.057267,1505.632979,1083.843203,358229.7441,1458.474147,1376.314016,5510.398215,1528.386041,1948.622828,4877.049035,1392.911279,1361.57296
d37_32_G04_1_4_S,augment_bootstrap,Forrest,T1,R4,S,5193.640435,587.1487429,2547.448005,50.97699018,1456.741522,717.2646461,11458.15756,515.3261269,2778.353572,12372.03204,515.3365053,2746.95524,5068.480218,593.2507094,2517.089458,4599.986657,2436.850646,2553.813497,330722.9705,844.2016887,2068.73386,3654.058915,647.6086565,2252.181518,5221.708511,591.199041,2489.636706
