Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Custom_points,Custom_center_x,Custom_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d33_18_G03_0_2_T,glasshouse_b1,CALINGIRI,T0,R2,T,17948,1160,2401,63,1741.666667,1822.222222,35188,1346,2082,31738,1207,2236,15570,1188.896853,2526.446821,13584,1138.196923,1850.013472,547880,1446.581646,1735.684728,20239,1482.188102,969.7966303,18313,1210.727571,2300.797903,208,136,1067.29947,0.127424,381.992653,0.392919,0.435429,0.821052,2095.78464,137.530014,1319.534604,235.324633,824.210946,7.763891,60.21738,354.439877,5.363652,189.178479,1113.505714,16.850411,12.606407,121.99302,2.930587
d17_44_G06_0_4_S,glasshouse_b1,3811,T0,R4,S,9365,1032,1772,58,1546.724138,626.3448276,24644,963,1868,24633,961,1873,9365,1055.323759,1782.789642,10681,795.6633274,2043.505664,460555,1267.460245,1581.814014,12784,2076.573217,2037.291145,9312,1054.278351,1785.243771,160,114,736.483529,0.15479,272.510317,0.404796,0.435429,0.88287,1439.968788,100.306229,939.894582,80.871181,641.638626,13.973723,18.541301,270.822706,9.813731,58.249214,850.814623,30.830745,3.574441,91.259176,5.472612
d07_25_G04_0_1_S,glasshouse_b2,Forrest,T0,R1,S,2823,1324,323,62,1313.983871,353.6774194,5888,1451,419,6001,1451,419,2823,1330.414098,330.0541977,2335,1416.983298,286.5301927,258921,1449.895752,259.3990947,2674,1381.811892,291.6133134,2823,1330.414098,330.0541977,41,21,125.590805,0.16721,42.032832,0.367712,0.410526,0.821052,246.113177,14.430019,146.039756,25.994426,98.122184,1.474195,6.127364,39.316205,1.042329,19.249683,123.5155,3.274573,1.200363,12.645087,0.584569
d17_03_G01_0_3_T,glasshouse_b1,Gladius,T0,R3,T,13142,1311,1773,82,1253.97561,1997.060976,16575,1477,1718,16587,1477,1718,13142,1310.735352,1773.441029,8339,1406.415637,1529.995203,422038,1419.700143,1134.536338,10220,1456.850978,1370.058121,16204,1356.291163,1635.943347,116,80,596.349111,0.13415,230.303687,0.41987,0.435429,0.725714,1173.026941,86.58871,789.444902,50.589365,539.737569,6.022177,12.063013,235.262092,3.963012,37.897074,739.097659,12.450169,2.388639,82.143166,2.056906
d17_02_G01_0_2_T,glasshouse_b1,Gladius,T0,R2,T,7456,1719,2199,67,1940.850746,2976.731343,16863,1740,1967,16767,1740,1967,7456,1748.668723,2198.753755,8096,1914.173419,2480.97542,363686,2019.568928,1584.851507,12947,1922.278675,1766.058237,6434,2070.858253,2727.176251,108,80,576.421788,0.138787,234.764507,0.438751,0.435429,0.598439,1127.554234,90.345229,798.918187,26.058819,550.362969,0,6.204968,248.060611,0,19.493483,779.424705,0,1.227879,89.11735,0
d19_04_G01_0_4_T,glasshouse_b2,Gladius,T0,R4,T,14877,2072,2941,59,2022.508475,2431.932203,27058,1842,2703,34689,1864,2606,14877,2002.171742,2940.52235,13209,1551.685063,892.1358165,483456,2066.93786,2443.453144,13467,1554.408257,898.7784956,14499,2012.075867,2962.222084,140,82,698.5985,0.117378,262.171958,0.406152,0.435429,0.598439,1375.932168,94.249658,892.22115,85.414372,613.184128,0,20.881922,263.064029,0,65.602493,826.618657,0,4.229083,90.020575,0
d11_40_G05_1_4_S,glasshouse_b2,Hartog,T1,R4,S,2576,1637,1403,60,1188.966667,1041.716667,3581,1273,846,3581,1273,846,2576,1644.708463,1401.041925,1919,1206.468473,1002.706618,300881,1455.26215,881.4613651,962,1350.711019,551.470894,2576,1644.708463,1401.041925,34,16,90.373247,0.177044,32.426532,0.387174,0.422977,0.580571,177.965129,11.620328,111.148292,18.901286,71.471961,0,4.299128,31.080472,0,13.506109,97.642184,0,0.823771,10.796557,0
d31_03_G01_0_3_T,glasshouse_b2,Gladius,T0,R3,T,14694,1386,1671,62,1718.387097,1151.580645,37029,1544,3614,35608,1497,1487,14694,1373.203008,1667.673472,17532,1752.488193,999.7851928,418373,1431.191427,1103.384831,19275,1712.235331,1048.863606,14694,1373.203008,1667.673472,211,145,993.447114,0.145956,373.88207,0.414552,0.435429,0.88287,1942.687242,141.335528,1294.5452,126.619623,858.743254,8.084237,31.412121,375.165907,5.488507,98.684089,1178.618457,17.242654,6.4472,131.940399,2.94793
d49_30_G04_1_2_S,glasshouse_b2,Forrest,T1,R2,S,2208,725,1118,62,826.0645161,2053.129032,19073,1018,3153,16689,1136,1480,2208,724.7404891,1118.487772,8813,941.4435493,3486.233859,342964,1327.973945,3205.608676,6604,1715.185796,3050.364779,2176,726.2215074,1118.030331,274,144,556.265969,0.258869,170.232708,0.344596,0.324549,0.781618,1073.466324,60.522023,609.545384,226.714572,321.964844,7.586552,49.345905,139.771138,4.86259,155.024734,439.10398,15.41667,9.091226,48.926548,2.504249
d45_28_G04_0_4_S,glasshouse_b1,Forrest,T0,R4,S,4913,1183,3943,71,1173.197183,930.5774648,33526,2020,3771,35419,2029,3755,4913,1182.677997,3943.326481,15240,1274.684318,4135.103806,331454,1446.097317,3754.555893,24856,1210.680359,758.7561152,4913,1182.677997,3943.326481,505,343,1164.558876,0.294532,398.119019,0.388382,0.410526,1.161143,2211.116002,157.950738,1436.571358,304.444552,816.776945,43.337379,66.457168,359.562409,31.221979,208.781351,1129.703267,98.08674,12.255431,127.541816,18.153491
