Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d15_25_G04_0_1_S,glasshouse_b2,Forrest,T0,R1,S,6465,1521,1747,72,1485.361111,1794.25,9899,1553,789,11917,1502,940,6417,1488.084775,1735.104098,5916,1427.619168,608.546146,359283,1452.450753,1343.490947,3949,1365.787794,516.8678146,6417,1488.084775,1735.104098,65,25,260.067521,0.096129,92.202581,0.385995,0.410526,0.821052,514.865618,33.354945,316.4831,60.404635,197.718045,1.944841,13.354312,85.899458,1.485929,41.953809,269.861107,4.668184,2.486221,29.971862,0.896862
d29_26_G04_0_2_S,glasshouse_b1,Forrest,T0,R2,S,7161,1375,3102,58,1086.155172,2581.724138,16084,1392,2587,15803,1392,2582,6912,1402.126591,3110.530671,10567,1160.324974,2517.130879,378159,1456.174466,2767.602173,6882,1512.474571,804.2150538,6913,1402.140605,3110.611167,157,101,570.283795,0.177105,213.803391,0.410959,0.435429,0.598439,1110.758189,80.12839,741.980351,70.50363,499.780165,0,16.695719,219.412675,0,52.451147,689.529204,0,3.301058,76.827332,0
d15_18_G03_0_2_T,glasshouse_b2,CALINGIRI,T0,R2,T,13866,1206,1827,68,1467.014706,1831.088235,26611,1472,929,28561,1471,937,13866,1202.207558,1826.540098,10231,1420.025999,1816.328805,430488,1392.287627,1171.993382,8613,1429.538488,519.9004992,13866,1202.207558,1826.540098,101,65,606.638996,0.107148,225.7902,0.407826,0.435429,0.917964,1194.719819,82.700673,778.941949,67.437136,534.864298,4.337562,16.73984,228.199095,3.005988,52.589759,716.908601,9.443589,3.424754,77.622542,1.653377
d5_T019_21.10.23,field,Gladius,na,R7,T,269318,829,5036,64,1156.4375,3652.359375,353714,989,5425,377885,1317,2972,197280,897.3957015,5093.282664,168584,1453.421772,3897.293065,1229792,1895.84814,3615.066704,293452,955.3870139,5645.703703,193488,891.3957661,5090.131114,1597,1160,6411.011102,0.180939,1218.522653,0.214074,0.18932,0.766689,12477.04624,253.312621,4310.575551,5757.751547,649.717565,3.54199,1143.165597,226.544057,2.357924,3591.360641,711.807274,7.407637,188.487845,63.585384,1.239392
d19_15_G02_1_3_T,glasshouse_b2,5489,T1,R3,T,8701,935,2279,57,980.2280702,2007.614035,15628,1048,1796,18154,1013,1862,8701,936.6103896,2279.857028,7520,928.3037234,1864.533511,512473,913.3203057,1862.451665,4899,941.6029802,2093.409471,8241,932.7961412,2300.807062,74,52,364.882331,0.142512,136.220926,0.407401,0.435429,0.740086,712.92455,50.684374,469.311565,47.279369,311.251008,6.351953,11.085722,133.820917,4.479871,34.826824,420.410811,14.073929,2.183375,46.013311,2.487688
d09_47_G06_1_3_S,glasshouse_b1,3811,T1,R3,S,2890,1434,772,71,1598.43662,257.1971831,5696,1593,639,5735,1593,639,2890,1423.407958,766.9529412,2673,1466.40853,717.298541,389201,1022.692909,875.8017503,3280,1605.422561,252.6039634,2890,1423.407958,766.9529412,63,41,167.701764,0.244482,63.431078,0.41563,0.435429,0.973648,322.060182,25.132269,221.916957,22.851088,138.566137,6.284539,5.490826,60.480634,4.666901,17.249939,190.005515,14.661503,1.096069,21.275587,2.760613
d29_17_G03_0_1_T,glasshouse_b1,CALINGIRI,T0,R1,T,22507,1392,3471,73,1731.30137,931.890411,31290,1411,2468,35489,1336,3102,22507,1311.753677,3471.324521,12049,2722.271807,2449.635405,510494,1420.881632,2213.663781,16572,1272.535783,2534.057989,11546,1347.236012,4075.289711,204,146,1080.804835,0.135085,395.738511,0.407496,0.435429,1.016,2113.413392,149.358029,1385.350091,178.233015,881.778519,20.793301,46.464431,379.753983,14.728663,145.972315,1193.106316,46.27146,9.85837,131.224286,8.275372
d45_27_G04_0_3_S,glasshouse_b1,Forrest,T0,R3,S,10728,790,3221,69,1499.594203,646.3043478,31787,1055,3660,33764,790,3221,10728,852.9209545,3201.260999,16197,705.1005742,3015.299932,497116,845.4187172,2329.646795,21806,1459.350958,726.9866092,8017,1426.60484,635.3636023,369,273,1032.941595,0.264294,372.728682,0.412953,0.435429,1.436841,1955.473668,158.236757,1350.070994,211.720425,747.8958,73.32537,50.991131,321.163759,57.517814,160.193361,1009.039699,180.837934,10.223278,111.02736,36.986119
d29_33_G05_0_1_S,glasshouse_b1,Hartog,T0,R1,S,5543,1335,3662,66,1550.5,718.3787879,18553,1214,2820,23603,1244,2680,5543,1340.723074,3659.778279,9795,1164.167432,2413.710465,343480,1453.326042,3082.823972,10151,1165.751355,2389.679145,5424,1344.297382,3667.439897,198,104,633.599554,0.164142,220.154925,0.382047,0.410526,0.725714,1238.969923,78.93972,765.832686,129.989739,499.206976,4.402839,28.529247,212.511999,2.730869,89.627272,667.626136,8.579279,5.299566,72.3089,1.331254
d33_27_G04_0_3_S,glasshouse_b1,Forrest,T0,R3,S,7757,835,3529,71,2666.309859,2721.084507,23921,754,2911,23921,754,2911,7757,888.6025525,3518.448627,9593,729.4424059,3032.112478,385785,871.1317729,2832.576738,11367,805.3049177,2245.375033,7757,888.6025525,3518.448627,143,95,646.542752,0.146935,233.879717,0.400706,0.435429,1.133602,1267.687489,86.202835,817.395254,90.217789,553.394182,2.930781,22.241692,235.566817,2.376481,69.874335,740.054983,7.465936,4.520091,80.092526,1.590218
